text,label
"Congratulations! You won a ₹5,00,000 lottery prize. Click here to claim.",scam
"Your SBI account has been credited with ₹25,000.",safe
Pay ₹999 processing fee to receive your reward.,scam
Meeting starts at 10 AM tomorrow.,safe
Your Amazon order has been shipped successfully.,safe
Urgent! Your bank account will be blocked. Verify now.,scam
Your OTP for login is 482913. Do not share it.,safe
Click this link to claim your free iPhone.,scam
Your electricity bill has been generated.,safe
Your Flipkart package will arrive today.,safe
Win a brand new car today. Register now!,scam
Your salary has been credited successfully.,safe
Update your KYC immediately to avoid account suspension.,scam
Your train ticket has been confirmed.,safe
Claim your free gift voucher now.,scam
College classes are cancelled tomorrow.,safe
Pay registration fee to secure your government job.,scam
Interview scheduled for Monday at 11 AM.,safe
Your Netflix subscription has been renewed.,safe
Limited offer! Double your money in 24 hours.,scam
Click to verify your PAN card details.,scam
Water supply will be interrupted tomorrow.,safe
Your exam hall ticket is available.,safe
Congratulations! You have won a holiday package.,scam
Your courier has reached the nearest hub.,safe
Update Aadhaar details immediately using this link.,scam
Google detected a new login to your account.,safe
Your phone recharge was successful.,safe
Your ATM card will expire. Update details now.,scam
Income tax refund is waiting. Claim now.,scam
Your doctor's appointment is tomorrow.,safe
Your bus ticket has been booked.,safe
"Receive ₹50,000 instantly without documents.",scam
Your internship application has been received.,safe
WhatsApp verification code is 724615.,safe
Your account has suspicious activity. Click below.,scam
You won a lucky draw worth ₹10 lakh.,scam
Your parcel is out for delivery.,safe
Monthly electricity payment received.,safe
Download this app to earn ₹5000 daily.,scam
Congratulations! Free laptop waiting for you.,scam
Your Zoom meeting starts in 15 minutes.,safe
Library books are due tomorrow.,safe
Confirm your bank details to avoid account freeze.,scam
Special investment plan guarantees 500% returns.,scam
Your IRCTC booking is confirmed.,safe
New assignment uploaded by your faculty.,safe
Click here to activate your reward points.,scam
Your passport appointment has been scheduled.,safe
Pay customs clearance fee for your parcel.,scam
